;model_name;config;train_loss
0;01_1_1-0;{'name': '01_1_1-0', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};When using `stateful=True` in a RNN, the batch size must be static. Found dynamic batch size: sequence.shape=(None, 1, 1)
1;01_1_1-0;{'name': '01_1_1-0', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};When using `stateful=True` in a RNN, the batch size must be static. Found dynamic batch size: sequence.shape=(None, 1, 1)
